Date,Comp,Venue,Result,GF,GA,xG,xGA,Poss,Opponent,Team,Season,GoalDiff,xGDiff,Outcome
2024-02-07,Copa del Rey,Away,W,1.0,0.0,,,32.0,Atlético Madrid,Athletic-Club-Bilbao,2023-2024,1.0,,Win
2024-02-12,La Liga,Away,D,0.0,0.0,0.7,0.9,61.0,Almería,Athletic-Club-Bilbao,2023-2024,0.0,-0.20000000000000007,Draw
2024-02-19,La Liga,Home,W,3.0,2.0,1.8,2.1,31.0,Girona,Athletic-Club-Bilbao,2023-2024,1.0,-0.30000000000000004,Win
2024-02-25,La Liga,Away,L,1.0,3.0,0.2,1.2,43.0,Betis,Athletic-Club-Bilbao,2023-2024,-2.0,-1.0,Loss
2024-02-29,Copa del Rey,Home,W,3.0,0.0,,,40.0,Atlético Madrid,Athletic-Club-Bilbao,2023-2024,3.0,,Win
2024-03-03,La Liga,Home,D,0.0,0.0,0.4,0.7,40.0,Barcelona,Athletic-Club-Bilbao,2023-2024,0.0,-0.29999999999999993,Draw
2024-03-10,La Liga,Away,W,2.0,0.0,1.1,1.2,30.0,Las Palmas,Athletic-Club-Bilbao,2023-2024,2.0,-0.09999999999999987,Win
2024-03-16,La Liga,Home,W,2.0,0.0,1.7,1.3,59.0,Alavés,Athletic-Club-Bilbao,2023-2024,2.0,0.3999999999999999,Win
2024-03-31,La Liga,Away,L,0.0,2.0,0.3,1.1,42.0,Real Madrid,Athletic-Club-Bilbao,2023-2024,-2.0,-0.8,Loss
2024-04-06,Copa del Rey,Home,D,,,,,69.0,Mallorca,Athletic-Club-Bilbao,2023-2024,,,Loss
2024-04-14,La Liga,Home,D,1.0,1.0,0.7,2.1,53.0,Villarreal,Athletic-Club-Bilbao,2023-2024,0.0,-1.4000000000000001,Draw
2024-04-19,La Liga,Home,D,1.0,1.0,1.5,0.2,67.0,Granada,Athletic-Club-Bilbao,2023-2024,0.0,1.3,Draw
2024-04-27,La Liga,Away,L,1.0,3.0,1.0,0.8,58.0,Atlético Madrid,Athletic-Club-Bilbao,2023-2024,-2.0,0.19999999999999996,Loss
